"County, State",POP010210D,LND110210D,People_Per_Square_Mile
"Tooele County, Utah","58,218 ","6,941.35 ",8.39 
"Uintah County, Utah","32,588 ","4,479.69 ",7.27 
"Utah County, Utah","516,564 ","2,003.45 ",257.84 
"Wasatch County, Utah","23,530 ","1,175.50 ",20.02 
"Washington County, Utah","138,115 ","2,426.36 ",56.92 
"Wayne County, Utah","2,778 ","2,460.68 ",1.13 
"Weber County, Utah","231,236 ",576.08 ,401.40 
"Addison County, Vermont","36,821 ",766.33 ,48.05 
"Bennington County, Vermont","37,125 ",674.98 ,55.00 
"Caledonia County, Vermont","31,227 ",648.86 ,48.13 
"Chittenden County, Vermont","156,545 ",536.58 ,291.75 
"Essex County, Vermont","6,306 ",663.60 ,9.50 
"Franklin County, Vermont","47,746 ",633.71 ,75.34 
"Grand Isle County, Vermont","6,970 ",81.81 ,85.20 
"Lamoille County, Vermont","24,475 ",458.80 ,53.35 
"Orange County, Vermont","28,936 ",687.03 ,42.12 
"Orleans County, Vermont","27,231 ",693.27 ,39.28 
"Rutland County, Vermont","61,642 ",929.82 ,66.29 
"Washington County, Vermont","59,534 ",687.23 ,86.63 
"Windham County, Vermont","44,513 ",785.31 ,56.68 
"Windsor County, Vermont","56,670 ",969.34 ,58.46 
"Accomack County, Virginia","33,164 ",449.50 ,73.78 
"Albemarle County, Virginia","98,970 ",720.70 ,137.32 
"Alleghany County, Virginia","16,250 ",445.46 ,36.48 
"Amelia County, Virginia","12,690 ",355.27 ,35.72 
"Amherst County, Virginia","32,353 ",473.93 ,68.27 
"Appomattox County, Virginia","14,973 ",333.49 ,44.90 
"Arlington County, Virginia","207,627 ",25.97 ,"7,994.88 "
"Augusta County, Virginia","73,750 ",967.00 ,76.27 
"Bath County, Virginia","4,731 ",529.16 ,8.94 
"Bedford County, Virginia","68,676 ",753.02 ,91.20 
"Bland County, Virginia","6,824 ",357.73 ,19.08 
"Botetourt County, Virginia","33,148 ",541.20 ,61.25 
"Brunswick County, Virginia","17,434 ",566.17 ,30.79 
"Buchanan County, Virginia","24,098 ",502.76 ,47.93 
"Buckingham County, Virginia","17,146 ",579.66 ,29.58 
"Campbell County, Virginia","54,842 ",503.87 ,108.84 
"Caroline County, Virginia","28,545 ",527.51 ,54.11 
"Carroll County, Virginia","30,042 ",474.69 ,63.29 
"Charles City County, Virginia","7,256 ",182.82 ,39.69 
"Charlotte County, Virginia","12,586 ",475.27 ,26.48 
"Chesterfield County, Virginia","316,236 ",423.30 ,747.07 
"Clarke County, Virginia","14,034 ",176.18 ,79.66 
"Craig County, Virginia","5,190 ",329.53 ,15.75 
"Culpeper County, Virginia","46,689 ",379.23 ,123.12 
"Cumberland County, Virginia","10,052 ",297.46 ,33.79 
"Dickenson County, Virginia","15,903 ",330.53 ,48.11 
"Dinwiddie County, Virginia","28,001 ",503.72 ,55.59 
"Essex County, Virginia","11,151 ",257.12 ,43.37 
"Fairfax County, Virginia","1,081,726 ",390.97 ,"2,766.77 "
"Fauquier County, Virginia","65,203 ",647.45 ,100.71 
"Floyd County, Virginia","15,279 ",380.42 ,40.16 
"Fluvanna County, Virginia","25,691 ",286.01 ,89.83 
"Franklin County, Virginia","56,159 ",690.43 ,81.34 
"Frederick County, Virginia","78,305 ",413.50 ,189.37 
"Giles County, Virginia","17,286 ",355.78 ,48.59 
"Gloucester County, Virginia","36,858 ",217.81 ,169.22 
"Goochland County, Virginia","21,717 ",281.42 ,77.17 
"Grayson County, Virginia","15,533 ",442.18 ,35.13 
"Greene County, Virginia","18,403 ",156.25 ,117.78 
"Greensville County, Virginia","12,243 ",295.23 ,41.47 
"Halifax County, Virginia","36,241 ",817.84 ,44.31 
"Hanover County, Virginia","99,863 ",468.54 ,213.14 
"Henrico County, Virginia","306,935 ",233.70 ,"1,313.37 "
"Henry County, Virginia","54,151 ",382.33 ,141.63 
"Highland County, Virginia","2,321 ",415.16 ,5.59 
"Isle of Wight County, Virginia","35,270 ",315.61 ,111.75 
"James City County, Virginia","67,009 ",142.44 ,470.44 
"King and Queen County, Virginia","6,945 ",315.14 ,22.04 
"King George County, Virginia","23,584 ",179.64 ,131.28 
"King William County, Virginia","15,935 ",273.94 ,58.17 
"Lancaster County, Virginia","11,391 ",133.25 ,85.49 
"Lee County, Virginia","25,587 ",435.52 ,58.75 
"Loudoun County, Virginia","312,311 ",515.56 ,605.77 
"Louisa County, Virginia","33,153 ",496.30 ,66.80 
"Lunenburg County, Virginia","12,914 ",431.68 ,29.92 
"Madison County, Virginia","13,308 ",320.68 ,41.50 
"Mathews County, Virginia","8,978 ",85.93 ,104.48 
"Mecklenburg County, Virginia","32,727 ",625.49 ,52.32 
"Middlesex County, Virginia","10,959 ",130.31 ,84.10 
"Montgomery County, Virginia","94,392 ",387.01 ,243.90 
"Nelson County, Virginia","15,020 ",470.86 ,31.90 
"New Kent County, Virginia","18,429 ",209.73 ,87.87 
"Northampton County, Virginia","12,389 ",211.61 ,58.55 
"Northumberland County, Virginia","12,330 ",191.30 ,64.45 
"Nottoway County, Virginia","15,853 ",314.39 ,50.42 
"Orange County, Virginia","33,481 ",340.78 ,98.25 
"Page County, Virginia","24,042 ",310.86 ,77.34 
"Patrick County, Virginia","18,490 ",483.10 ,38.27 
"Pittsylvania County, Virginia","63,506 ",968.94 ,65.54 
