,zip,state,county,State Name,"County, State"
254,99730,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
255,99733,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
256,99740,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
257,99741,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
258,99745,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
259,99746,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
260,99748,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
261,99754,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
262,99756,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
263,99757,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
264,99758,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
265,99760,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
266,99765,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
267,99767,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
268,99768,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
269,99774,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
270,99777,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
271,99781,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
272,99788,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
273,99790,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
274,36003,AL,Autauga County,Alabama,"Autauga County, Alabama"
275,36006,AL,Autauga County,Alabama,"Autauga County, Alabama"
276,36008,AL,Autauga County,Alabama,"Autauga County, Alabama"
277,36051,AL,Autauga County,Alabama,"Autauga County, Alabama"
278,36066,AL,Autauga County,Alabama,"Autauga County, Alabama"
279,36067,AL,Autauga County,Alabama,"Autauga County, Alabama"
280,36068,AL,Autauga County,Alabama,"Autauga County, Alabama"
281,36749,AL,Autauga County,Alabama,"Autauga County, Alabama"
282,36507,AL,Baldwin County,Alabama,"Baldwin County, Alabama"
